I have a headache.	Masakit ulo ko.
My left hurts.	Ang kaliwang paa ko ay masakit.
He had a fracture in his left foot.	Napilay ang kanyang kaliwang paa.
She had a fracture in her left foot.	Napilay ang kanyang kaliwang paa.
Why did you get tired?	Bakit ka napagod?
You are strong.	Ang lakas mo.
I am getting tired.	Napapagod na ako.
He is getting tired.	Napapagod na siya.
She is getting tired.	Napapagod na siya.
Maybe he is tired.	Marahil pagod na siya.
Maybe she is tired.	Marahil pagod na siya.
I got tired because of running.	Napagod ako sa pagtakbo.
Running is a good exercise.	Magandang ehersisyo ang pagtakbo.
Running makes a person lose weight.	Nakakapayat ang pagtakbo.
Safety is important when exercising.	Mahalaga ang kaligtasan kapag nag-eehersisyo.
Ask him to teach you how to execrcise.	Magpaturo ka sa kanya mag-ehersisyo.
Ask her to teach you how to exercise.	Magpaturo ka sa kanya mag-ehersisyo.
Let us run together.	Sabay tayo tumakbo.
Will you run with me?	Sasabay ka ba sakin tumakbo?
I won't be able to run.	Hindi ako makakatakbo.
I won't be able to play.	Hindi ako makakalaro.
I will play to exercise.	Maglalaro ako para maehersisyo.
It has been a long time since I exercised.	Ang tagal ko ng hindi nag-eehersisyo.
Are you still exercising?	Nag-eehersisyo ka pa rin?
Let us run tomorrow.	Takbo tayo bukas.
The weather is good today to play.	Maganda ang panahon ngayon para maglaro.
The weather is good today to run.	Maganda ang panahon ngayon para tumakbo.
The weights you are lifting are now heavy.	Ang bigat na ng binubuhat mo.
Are there many people running now?	Marami bang tumatakbo ngayon?
There are only few people running outdoors now.	Onti lang ang tumatakbo ngayon sa labas.
It is fun to run in the morning.	Masarap tumakbo sa umaga.
I will run tomorrow morning.	Tatakbo ako bukas ng umaga.
Do you want to join me run tomorrow?	Gusto mo sumama sakin tumakbo bukas?
I don't have anyone to run with later.	Wala akong kasabay tumakbo mamaya.
I will run by myself later.	Magisa lang akong tatakbo mamaya.
I will run even if it rains.	Tatakbo ako kahit na umulan.
I am forgetting my problems when I run.	Nakakalimutan ko ang problema kapag tumatakbo.
Running is good for the health.	Ang pagtakbo ay maganda sa kalusugan.
He runs the fastest of them all.	Siya ang pinakamabilis tumakbo sa kanila.
She runs the fastest of them all.	Siya ang pinakamabilis tumakbo sa kanila.
Is the doctor there?	Nandyan ba ang doktor?
The doctor is not here yet.	Wala pa ang doktor.
What time will the doctor arrive?	Anong oras darating ang doktor?
How much exercise is enough?	Gaano karaming ehersisyo ang sapat?
Exercising is like a drug.	Ang pageehersisyo ay parang gamot.
Kidneys are pair of organs in the human body.	Ang bato ay pares ng organo na nasa katawan ng tao.
A person has two kidneys.	May dalawang bato ang isang tao.
It is fine to lose one of your kidneys.	Okay lang na mawalan ng isang bato.
Our kidneys remove wastes in our body.	Ang ating mga bato ay tinatagal ang mga dumi sa ating katawan.
The kidneys have been regarded as important organs since early history.	Ang mga bato ay itinuturing na mga mahalagang organo mula pa noong unang bahagi ng kasaysayan.
In biblical times, the kidneys were considered to be the seat of conscience and reflective thought.	Sa panahon ng bibliya, ang mga bato ay itinuturing na ang upuan ng budhi at mapanimdim na pag-iisip.
God is described as inspecting the heart and kidneys of men.	Inilarawan ang Diyos na iniinspeksyon ang puso at mga bato ng mga tao.
Ancient Egyptian embalmers left only the brain and kidneys in position before permanently fixing bodies.	Ang mga sinaunang taga-Ehipto na nageembalsamo ay iiniiwan lamang ang utak at bato sa posisyon bago permanenteng ilapat ang mga katawan.
According to a Jewish text, one kidney prompts a person to do what is good and the other one prompts to do evil.	Ayon sa isang tekstong Hudyo, ang isang bato ang nag-uudyok sa isang tao na gawin ang mabuti at ang isa naman ay nag-uudyok na gumawa ng masama.
In the following article, we will look at the structure and function of the kidneys, diseases that affect them and how to keep the kidneys healthy.	Sa susunod na artikulo, titingnan natin ang istraktura at gamit ng mga bato, mga sakit na nakakaapekto sa kanila at kung paano mapanatiling malusog ang mga bato.
The kidneys are located at the back.	Ang mga bato ay matatagpuan sa likod.
Due to the asymmetry caused by the liver, the right kidney is generally slightly smaller and lower than the left.	Dahil sa hindi pagkakapantay na sanhi ng atay, ang kanang bato ay karaniwang bahagyang mas maliit at mas mababa kaysa sa kaliwa.
The primary role of the kidneys is that of homeostasis.	Ang pangunahing papel ng mga bato ay ang homeostasis.
Waste products are removed via the kidneys and expelled in the urine.	Ang mga dumi ay inalis sa pamamagitan ng mga bato at pinatalsik sa ihi.
There are a great number of potential ways in which the kidneys can become diseased or damaged.	Mayroong maraming mga potensyal na paraan kung saan ang mga bato ay maaring makaroon ng karamdaman o pinsala.
Kidney infections are typically caused by bacteria.	Karaniwang sanhi ng bakterya ang mga impeksiyon sa bato.
Build-up of minerals in the kidney is dangerous.	Mapanganib ang pamumuo ng mga mineral sa bato.
They can cause intense pain.	Maaari silang maging sanhi ng matinding sakit.
These infections cause lower back pain.	Ang mga impeksyon na ito ay nagiging sanhi ng sakit sa babang likod.
These infections cause fever.	Ang mga impeksyong ito ay nagiging sanhi ng lagnat.
There may be observable changes in the urine, including the presence of blood and a different odor.	Maaaring may mga kapansin-pansin na pagbabago sa ihi, kabilang ang pagkakaroon ng dugo at ibang amoy.
Kidney infections are more common in women.	Ang mga impeksyon sa bato ay mas karaniwan sa mga kababaihan.
This refers to the inability of the kidneys to sufficiently filter out waste products from the blood.	Ito ay tumutukoy sa kawalan ng kakayahan ng mga bato upang salain ng sapat ang mga dumi mula sa dugo.
There is also a disease known as water in the kidney.	Mayroon ding sakit na kilala bilang tubig sa bato.
This condition is generally caused by an obstruction that prevents urine from exiting the kidney.	Ang kundisyong ito ay karaniwang sanhi ng isang bara na pumipigil sa ihi sa paglabas ng bato.
He sold one of his kidneys.	Binenta niya ang kanyang isang bato.
She sold one of her kidneys.	Binenta niya ang kanyang isang bato.
He has kidney disease.	May sakit siya sa bato.
She has kidney disease.	May sakit siya sa bato.
He has kidney infection.	May impeksyon siya sa bato.
She has kidney infection.	May impeksyon siya sa bato.
He was prescribed medicines for his kidney disease.	Niresetahan siya ng gamot para sa kanyang sakit sa bato.
She was prescribed medicines for her kidney disease.	Niresetahan siya ng gamot para sa kanyang sakit sa bato.
Dialysis is used if the kidneys lose most of their function.	Ang dialysis ay ginagamit kung ang mga bato ay hindi na magagawa ang karamihan sa kanilang ginagawa.
Nutrients from the blood are reabsorbed and transported to where they are needed.	Ang mga sustansya mula sa dugo ay muling kinukuha at pinapadala sa kung saan sila ay kinakailangan.
It is possible to have cancer in the kidney.	Maaring magkaroon ng kanser sa bato.
Pain medication used over a long period of time can damage the kidneys.	Ang mga gamot sa sakit na ginagamit sa loob ng mahabang panahon ay maaaring makapinsala sa mga bato.
Drugs that have the potential to damage the kidneys include aspirin.	Ang mga gamot na may potensyal na makapinsala sa mga bato ay kinabibilangan ng aspirin.
Aspirin is one of the drugs that can damage the kidneys.	Isa ang aspirin sa mga gamot na posibleng makapinsala sa mga bato.
Alcohol alters the ability of the kidneys to filter blood.	Binabago ng alkohol ang kakayahan ng bato na salain ang dugo.
Drinking enough water is important.	Ang pag-inom ng sapat na tubig ay mahalaga.
Drinking enough water is important for many reasons, but drinking too much water will not be of benefit.	Ang pag-inom ng sapat na tubig ay mahalaga para sa maraming mga kadahilanan, ngunit ang pag-inom ng labis na tubig ay hindi magiging kapaki-pakinabang.
Eating right can prevent many of the common causes of kidney disease.	Ang tamang pagkain ay maaaring makapigil sa marami sa mga karaniwang sanhi ng sakit sa bato.
Exercise can also remove many of the risks to kidney health.	Maaari ring alisin ng ehersisyo ang marami sa mga panganib sa kalusugan ng bato.
Caution should be shown with vitamins cause some have the ability to harm the kidneys if taken to excess.	Pag-iingat ay dapat na ipakita sa paggamit ng mga bitamina dahil ang ilan ay may kakayahang makapinsala sa mga bato kung iinumin ng sobra.
Monitor salty food intake.	Bantayan ang pagkain ng maalat na pagkain.
Tobacco smoke restricts blood vessels.	Ang usok ng tabako ay naghihigpit sa mga daluyan ng dugo.
Smoking is bad for the kidneys.	Ang paninigarilyo ay masama sa mga bato.
Just because a drug is available to purchase without a prescription does not mean it is harmless.	Dahil lamang na ang isang gamot ay pwedeng bilhin ng walang reseta ay hindi nangangahulugan na ito ay hindi nakakapinsala.
If you have high blood pressure or diabetes, a regular kidney screening can help spot any potential health issues.	Kung mayroon kang mataas na presyon ng dugo o diyabetis, maaaring makatulong ang isang regular na pagsusuri ng bato sa anumang mga posibleng isyu sa kalusugan.
Diabetes is a major risk factor for kidney disease.	Ang diabetes ay isang pangunahing kadahilanan sa panganib para sa sakit sa bato.
High blood sugar levels could be causing kidney damage.	Ang mataas na antas ng asukal sa dugo ay maaaring magdulot ng pinsala sa bato.
Acne is a common skin disorder that can result in several types of blemish.	Ang tigyawat ay isang karaniwang sakit sa balat na maaaring magresulta sa maraming uri ng dungis sa balat.
There are many ways to prevent acne.	Maraming mga paraan upang maiwasan ang acne.
There are many ways to prevent pimples.	Maraming mga paraan upang maiwasan ang tigyawat.
Wash the face twice daily.	Maghilamos ng mukha dawalang beses araw-araw.
Have you washed your face?	Naghilamos ka na ba?
I'm washing my face.	Naghihilamos ako.
I already washed my face.	Naghilamos na ako.
Acne is rarely the result of a dirty face, contrary to popular belief.	Ang tigyawat ay bihirang resulta ng isang maruming mukha, salungat sa popular na paniniwala.
However, it is important to remove excess dirt and oil from the skin by washing regularly.	Gayunpaman, mahalaga na tanggalin ang labis na dumi at langis mula sa balat sa pamamagitan ng regular na paghuhugas.
Over-washing the face may cause the skin to become dry, which can aggravate pimples.	Ang labis na paghuhugas ng mukha ay maaaring maging sanhi ng balat na maging tuyo, na maaaring magpalubha ng mga tigyawat.
Some people scrub the skin with rough cloth.	Ilang mga tao ay kinukuskos ang balat gamit ang magaspang na tela.
This can irritate the skin and cause inflammation.	Maaari itong mapinsala ang balat at maging sanhi ng pamamaga.
Regularly washing the hair may stop acne from developing.	Ang regular na paghuhugas ng buhok ay maaaring pigilan ang paglabas ng tigyawat.
It may be tempting to squeeze a pimple.	Maaaring masarap pisain ang isang tigyawat.
It may be tempting to squeeze a pimple.	Maaaring masarap pisain ang isang tagihawat.
Acne is rarely the result of a dirty face, contrary to popular belief.	Ang tigyawat ay bihirang resulta ng isang maruming mukha, salungat sa popular na paniniwala.
Acne is rarely the result of a dirty face, contrary to popular belief.	Ang tagihawat ay bihirang resulta ng isang maruming mukha, salungat sa popular na paniniwala.
Acne is a common skin disorder that can result in several types of blemish.	Ang tagihawat ay isang karaniwang sakit sa balat na maaaring magresulta sa maraming uri ng dungis sa balat.
Pimples are common in the nose, chin and forehead.	Ang mga tigyawat ay karaniwan sa ilong, baba at noo.
You can consult a doctor if you have lots of pimple.	Maaari kang kumunsulta sa isang doktor kung mayroon kang maraming tagihawat.
Pimples are common in the nose, chin and forehead.	Ang mga tagihawat ay karaniwan sa ilong, baba at noo.
You can consult a doctor if you have lots of pimple.	Maaari kang kumunsulta sa isang doktor kung mayroon kang maraming tigyawat.
Sugary foods can cause pimples.	Ang mga maasukal na pagkain ay maaaring maging sanhi ng mga tagihawat.
Sugary foods can cause pimples.	Ang mga maasukal na pagkain ay maaaring maging sanhi ng mga tigyawat.
Stress can cause pimples.	Ang matinding pagod ay maaring maging sanhi ng mga tigyawat.
Stress can cause pimples.	Ang matinding pagod ay maaring maging sanhi ng mga tagihawat.
Stress can cause different kinds of diseases.	Ang matinding pagod ay maaring magdulot ng iba't ibang uri ng sakit.
A person's risk of developing the common heart disorde may be increased if they also have depression.	Ang panganib ng isang tao na magkaroon ng karaniwang sakit sa puso ay maaaring tumaas kung mayroon din silang depresyon.
The heart is a muscular organ in most animals, which pumps blood through the blood vessels.	Ang puso ay isang muscular organ sa karamihan sa mga hayop, na binobomba ang dugo sa pamamagitan ng mga daluyan ng dugo.
A heart attack is the death of a segment of heart muscle caused by a loss of blood supply.	Ang atake sa puso ay ang pagkamatay ng isang bahagi ng kalamnan ng puso na sanhi ng pagkawala ng supply ng dugo.
Blood supply is usually cut off when an artery supplying the heart muscle is blocked by a blood clot.	Ang suplay ng dugo ay karaniwang napuputol kapag ang ugat na naghahatid dito sa kalamnan sa puso ay nahaharangan ng isang namuong dugo.
Chest pain is a common symptom of heart attack.	Ang sakit sa dibdib ay karaniwang sintomas ng atake sa puso.
The risk of heart attack increases as a person gets old.	Ang panganib ng pag-atake sa puso ay tumataas habang ang isang tao ay tumatanda.
The posibility of heart attack increases as a person gets old.	Ang posibilidad ng pag-atake sa puso ay tumataas habang ang isang tao ay tumatanda.
Smoking can cause heart attack.	Ang paninigarilyo ay maaaring maging sanhi ng atake sa puso.
Smokers have higher risk of heart attack.	Ang mga naninigarilyo ay may mas mataas na peligro ng atake sa puso.
Avoid being close with smokers.	Iwasan ang pagiging malapit sa mga naninigarilyo.
Smoking should be prohibited.	Ang paninigarilyo ay dapat na ipinagbabawal.
Smoking in public places is already prohibited.	Ang paninigarilyo sa mga pampublikong lugar ay ipinagbabawal na.
He might have caught his disease from smoking.	Maaaring nakuha niya ang kanyang sakit mula sa paninigarilyo.
Why are you smoking?	Bakit ka naninigarilyo?
Do you smoke?	Naninigarilyo ka ba?
I'll smoke first.	Maninigarilyo muna ako.
Give me a cigarette.	Pahingi sigarilyo.
I do not have a cigarette anymore.	Wala na akong sigarilyo.
I do no have a cigarette anymore.	Ubos na ang sigarilyo ko.
You will die young if you do not stop smoking.	Maaga kang mamamatay kung hindi mo ititigil ang paninigarilyo.
Heart attack is fatal.	Nakamamatay ang atake sa puso.
Heart attack is deadly.	Nakamamatay ang atake sa puso.
The quicker someone is treated when having a heart attack, the greater the chances of success.	Mas mabilis ang paggamot sa isang tao kapag nagkakaroon ng atake sa puso, mas malaki rin ang posibilidad ng tagumpay.
It is crucial to remember that a person's survival depends largely on how quickly they reach the hospital.	Mahalagang tandaan na ang kaligtasan ng isang tao ay depende sa kung gaano kabilis naabot nila ang ospital.
Sometimes, a person who is having a heart attack will stop breathing.	Kung minsan, ang isang tao na nagkakaroon ng atake sa puso ay titigil sa paghinga.
Cow's milk has long been associated with good health.	Matagal nang nauugnay ang gatas ng baka sa mabuting kalusugan.
One of the most consumed beverages throughout the United States and Europe is milk.	Ang isa sa mga pinaka-iniinom na inumin sa buong Estados Unidos at Europa ay gatas.
Milk is a white liquid produced by the mammary glands of mammals.	Ang gatas ay isang puting likido na ginawa ng mammary glands ng mammals.
All mammals, including humans, will normally produce milk to feed their offspring until they are ready for solid food.	Ang lahat ng mga mammal, kabilang ang mga tao, ay karaniwang gumagawa ng gatas upang pakainin ang kanilang mga supling hanggang sa sila ay handa na para sa solidong pagkain.
It contains valuable nutrients.	Naglalaman ito ng mga mahalagang sustansya.
It can offer a range of health benefits.	Maaari itong magbigay ng iba't ibang mga benepisyo sa kalusugan.
Milk contains valuable nutrients.	Ang gatas ay naglalaman ng mga mahalagang sustansya.
Milk can offer a range of health benefits.	Ang gatas ay maaring magbigay ng iba't ibang mga benepisyo sa kalusugan.
Calcium can prevent osteoporosis.	Calcium ay maaring hadlangan ang osteoporosis.
Milk has long been seen as a healthy drink.	Matagal nang kilala ang gatas bilang isang masustansyang inumin.
Milk is good for the bones.	Ang gatas ay mabuti para sa mga buto.
Other ways to improve bone health and reduce the risk of osteoporosis include regular physical activity and strength training.	Ang iba pang mga paraan upang mapabuti ang kalusugan ng buto at mabawasan ang panganib ng osteoporosis ay kasama ang regular na pisikal na aktibidad at pagsasanay ng lakas.
Cow's milk can reduce blood pressure.	Ang gatas ng baka ay maaaring magpababa ng presyon ng dugo.
Cow's milk can reduce risk of depression.	Ang gatas ng baka ay maaaring bawasan ang panganib ng depresyon.
Milk helps in muscle growth and repair.	Ang gatas ay tumutulong sa paglaki at pag-aayos ng kalamnan.
Cow's milk is designed to help baby cows grow fast.	Ang gatas ng baka ay dinisenyo upang tulungan ang mga sanggol na baka na mabilis na lumaki.
Cow's milk is a rich source of high-quality protein.	Ang gatas ng baka ay mayaman sa mataas na kalidad na protina.
Cow's milk does not seem to significantly help with weight loss.	Ang gatas ng baka ay mukhang hindi malaking tulong sa pagbaba ng timbang.
Milk can reduce progression of osteoarthritis of the knee.	Maaaring mabawasan ng gatas ang paglala ng osteoarthritis ng tuhod.
