English	Filipino
Tom seldom puts sugar in his coffee.	Minsan lang naglalagay ng asukal si Tom sa kanyang kape.
My mother seldom watches TV at night.	Minsan lang nanonood ang nanay ko ng TV kapag gabi.
They seldom, if ever, speak in French.	Minsan lang, kung sakali, siya nagsasalita ng French.
I live near her house, but I seldom see her.	Nakatira ako malapit sa bahay niya, ngunit minsan ko lang siya nakikita.
Tom seldom makes mistakes when writing in French.	Minsan lang nagkakamali si Tom kapag nagsusulat sa French.
Some people seldom speak unless they're spoken to.	Ang ibang tao ay bihira lang magsalita maliban na lang kung kinakausap sila.
Tom and Mary seldom speak to each other in French.	Minsan lang nag-uusap si Tom at Mary sa French.
Tom is a picky eater and seldom tries anything new.	Mapili sa pagkain si Tom at minsan lang sumubok ng kahit anong bago.
Tom and Mary were neighbors, but seldom saw each other.	Magkapitbahay lang si Tom at Mary, pero minsan lang nila.nakikita ang isa't-isa.
Tom and Mary don't have much money so they seldom eat out.	Wala masyadong pera si Tom at Mary kaya minsan lang sila kumakain sa labas.
There are people who seldom speak unless they're spoken to.	May mga taong minsan lang nagsasalita maliban na lang kapag kinakausap mo sila.
He seldom gets angry.	Minsan lang siya nagagalit.
Our dog seldom bites.	Minsan lang nangangagat ang aso namin.
I seldom speak to him.	Minsan lang ako nakikipag-usap sa kanya.
I seldom hear from him.	Minsan lang ako makarinig mula sa kanya.
He seldom goes to church.	Minsan lang siya pumupunta sa simbahan.
I seldom go to a library.	Minsan lang ako pumupunta sa library.
He seldom comes to see me.	Minsan lang niya lang ako dinadalaw.
He seldom, if ever, comes.	Minsan lang, kung sakali, siya dumarating.
I very seldom eat lobster.	Sobrang bihira lang ako kumain ng lobster.
Is today Friday?	Biyernes ba ngayon?
Today is Friday.	Biyernes ngayon.
How about Friday?	Sa Biyernes kaya?
Tom took Friday off.	Nag-off si Tom noong Biyernes.
Finally, it's Friday.	Sa wakas, Biyernes na.
I have a date on Friday.	May date ako sa Biyernes.
Please come next Friday.	Kung maari sana ay pumunta ka sa Biyernes.
We get paid every Friday.	Binabayaran kami tuwing Biyernes.
Are you busy Friday night?	Abala ka ba sa Biyernes ng gabi?
We can't do this by Friday.	Hindi natin ito magagawa bago mag-Biyernes.
What will you do on Friday?	Ano ang gagawin mo sa Biyernes?
Tom was alone on Friday night.	Mag-isa si Tom sa Biyernes ng gabi.
Friday is when I am least busy.	Sa Biyernes ako pinaka hindi abala.
We went to a dance last Friday.	Nagpunta kami sa sayawan noong Biyernes.
Tom hates to work late on Friday.	Kinamumunghian ni Tom na magtrabaho ng late sa Friday.
What're you going to do on Friday?	Ano ang gagawin mo sa Biyernes?
Tom is leaving on a trip on Friday.	Aalis si Tom para byumahe sa Biyernes.
I'm going to a party Friday evening.	Pupunta ako sa party sa Biyernes ng gabi.
We're having a party Friday evening.	Magkakaroon tayo ng party sa Biyernes ng gabi.
Who wants to work on a Friday night?	Sinong gusto magtabaho sa Biyernes ng gabi?
I need to know your answer by Friday.	Kailangan kong malaman ang sagot mo sa Biyernes.
Tom had a date with Mary last Friday.	Nakaroon ng date si Tom kasama si Mary noong Biyernes.
Tom is leaving for India next Friday.	Aalis si Tom patungong India sa susunod na Biyernes.
I think I'm going to be busy on Friday.	Sa tingin ko ay magiging abala ako sa Biyernes.
Tom went to see Mary the following Friday.	Pinuntahan ni Tom si Mary noong susunod na Biyernes.
I had a date with Mary last Friday evening.	Nakipag-date ako kay Mary noong nakaraang Biyernes ng gabi.
Tom and Mary often work together on Fridays.	Madalas nagtatrabaho si Tom at Mary nang magkasama kapag Biyernes.
Tom can't find a babysitter for Friday night.	Walang mahanap na babysitter si Tom para sa Biyernes ng gabi.
Tom and Mary are giving a party on Friday night.	Magpapaparty si Tom at Mary sa Friday ng gabi.
It is said that Friday the 13th is an unlucky day.	Sinasabing malas ang Friday the 13th.
Tom always wears a tie to work, except on Fridays.	Laging nagsusuot ng kurbata si Tom sa trabaho, maliban kapag Biyernes.
There will be a dance Friday night at the high school.	Magkakaroon ng sayawan sa Biyernes ng gabi sa high school.
It was in this room that we had the meeting last Friday.	Dito sa silid na ito kami nagpulong noong nakaraan Biyernes.
Do you want to go out to a movie with me on Friday night?	Gusto mo bang lumabas at manood ng sine kasama ako sa Biyernes ng gabi?
I'd like for Tom to tell you what he did on Friday night.	Gusto kong sabihin sayo ni Tom kung ano ang ginawa niya noong Biyernes ng gabi.
Tom and his friends play poker almost every Fridaynight.	Halos kada-Biyernes naglalaro ng poker si Tom at ang kanyang mga kaibigan.
Tom and Mary often go out for dinner together on Fridays.	Madalas lumalabas si Tom at Mary para kumain tuwing Biyernes ng gabi.
Tom certainly seemed to enjoy the party last Friday night.	Mukhang nagsaya talaga si Tom sa party noong nakaraang Biyernes ng gabi.
Why don't you call Tom and remind him about the party on Friday?	Bakit hindi mo tawagan si Tom at ipaalala sa kanya ang party?
Tom went out with Mary on Friday night and with Alice on Saturday night.	Lumabas si Tom kasama si Mary noong Biyernes ng gabi, at kasama si Alice noong Sabado ng gabi.
Tom and Mary are having a house-warming party this coming Friday evening.	Magkakaroon ng housewarming party si Tom at Mary sa susunod na Biyernes ng gabi.
Tom can't quite believe that Mary is really going on a date with him this Friday night.	Hindi makapaniwala si Tom na magde-date talaga sila ni Mary sa Biyernes ng gabi.
Tom thinks there's a good possibility that Mary will agree to babysit the children on Friday night.	Sa tingin ni Tom ay malaki ang tyansa na papayag si Mary na bantayan ang mga bata sa Biyernes ng gabi.
On school nights, Tom goes to bed at nine o'clock.	Tuwing may pasok, natutulog si Tom ng alas-nuebe.
But on Fridays and Saturdays, he stays up much later.	Ngunit kapag Biyernes at Sabado, nagpupuyat siya.
It's finally Friday.	Sa wakas ay Biyernes na.
Thank God it's Friday.	Salamat sa Diyos at Biyernes ngayon.
I wish today were Friday.	Hiling ko ay sana Biyernes ngayon.
I'll see him next Friday.	Makikipagkita ako sa kanya sa susunod na Biyernes.
They eat fish on Fridays.	Kumakain sila ng isa tuwing Biyernes.
What do you do on Fridays?	Ano ang ginagawa mo tuwing Biyernes?
Come whenever you like.	Pumunta ka sa tuwing gusto mo.
Come whenever you want.	Pumunta ka sa tuwing gusto mo.
Come whenever you want to.	Pumunta ka sa tuwing gusto mo.
I'm ready whenever you are.	Handa na ako kapag handa ka na.
I can leave whenever I want.	Kaya kong umalis kung kailan ko man gusto.
Tom may go whenever he likes.	Pwedeng pumunta si Tom kung kailan niya gusto.
Please come whenever you like.	Mangyaring pumunta ka kung kailan mo gusto.
Ask me whenever you're in doubt.	Tanungin mo ako tuwing nag-aalinlangan ka.
Tom may eat whenever he wants to.	Maaaring kumain si Tom tuwing gusto niya.
I can go to Tom's whenever I want.	Maaari akong pumunta kina Tom tuwing gusto ko.
She avoided him whenever possible.	Iniwasan niya siya tuwing posible.
We'll start whenever you're ready.	Magsisimula na tayo kapag handa ka na.
I'll see you whenever it suits you.	Kikitain kita kung kailan ka pwede.
We'll start whenever you are ready.	Magsisimula na tayo kapag handa ka na.
I'm ready to leave whenever you are.	Handa na akong umalis kapag handa ka na.
We'll be ready whenever you need us.	Handa kami kung kailangan mo kami.
Call me up whenever you need my help.	Tawagan mo ako tuwing kailanganmo ng tulong ko.
Can you do that whenever you want to?	Magagawa mo ba yan tuwing gusto mo?
Come and see me whenever you want to.	Puntahan mo lang ako tuwing gusto mo.
Tom brings us gifts whenever he visits.	Dinadalhan kami ni Tom ng regalo tuwing bumibisita siya.
Tom may use my bicycle whenever he wants.	Maaring gamitin ni Tom ang bisikleta tuwing gusto niya.
Tom stands by me whenever I am in trouble.	Sinusuportahan ako ni Tom tuwing may problema ako.
We stay with Tom whenever we go to Boston.	Nakikitira kami kay Tom tuwing pumupunta kami sa Boston.
My dog follows me whenever I leave the room.	Sinusundan ako ng aso ko tuwing umaalis ako sa silid.
He uses foul language whenever he gets angry.	Nagmumura siya tuwing nagagalit siya.
Whenever Tom comes to Boston, he stays with us.	Tuwing pumupunta si Tom sa Boston, nakikitira siya sa amin.
Tom can come over to my place whenever he wants.	Maaring pumunta si Tom sa lugar namin tuwing gusto niya.
Whenever Tom comes to Boston, he stays at our place.	Tuwing pumupunta si Tom sa Boston, nakikitira siya sa lugar namin.
Whenever I find something I like, it's too expensive.	Tuwing nakakakita ako ng bagay na gusto ko, sobrang mahal niti.
Tom acted as the boss whenever the boss wasn't around.	Nag-aarteng parang boss si Tom tuwing wala ang boss niya.
Tom becomes nervous whenever he has to speak in public.	Kinakabahan si Tom tuwing kailangan niyang magsalita sa harap ng maraming tao.
Tom gorges himself whenever he eats at that restaurant.	Nagpapakabusog si Tom tuwing kumakain siya sa restawran na iyon.
Tom buys new shoes whenever he can find a pair that fit.	Bumibili si Tom ng bagong sapatos tuwing nakakahanap siya ng kasya sa kanya.
Tom loves zombie movies and watches them whenever he can.	Mahilig si Tom sa pelikulang tungkol sa mga zombies at pinapanood niya ang mga iton tuwing kaya niya.
Tom can go hear Mary sing at that club whenever he wants to.	Maaring pakinggan ni Tom ang pagkanta ni Mary sa club tuwing gusto niya.
I just want to be able to visit my children whenever I want to.	Gusto ko lang na bisitahin ang aking mga anak tuwing gusto ko.
Do it whenever you want.	Gawin mo iyon kung kailan mo gusto.
Come whenever you'd like.	Punta ka lang tuwing gusto mo.
Stop by whenever you can.	Daan ka lang tuwing gusto mo.
Call me whenever you want.	Tawagan mo lang ako tuwing gusto mo.
I work out whenever I can.	Nagwowork-out ako tuwing kaya ko.
Whenever I call, he is out.	Twuing tumatawag ako ay wala siya.
We can stop whenever we want.	Maari tayong tumigil tuwing gusto natin.
Go to sleep whenever you want.	Maaari kang matulog tuwing gusto mo.
I get nauseous whenever I fly.	Nahihilo ako tuwing lumilipad ako.
Let me know whenever you come.	Sabihin mo sa akin tuwing pupunta ka.
You may come whenever you like.	Maari kang pumunta tuwing gusto mo.
You may leave whenever you want.	Maaari kang umalis tuwing gusto mo.
I feel sick whenever I see blood.	Sumasama ang pakiramdam ko tuwing nakakakita ako ng dugo.
Whenever I see you, I feel happy.	Sumasaya ako tuwing nakikita kita.
Return immediately.	Bumalik ka agad.
He left immediately.	Umalis siya agad.
Call Tom immediately.	Tawagan mo agad si Tom.
Tom left immediately.	Umalis agad si Tom.
We leave immediately.	Aalis tayo agad.
I need it immediately.	Kailangan ko iyon agad.
Stop that immediately.	Itigil mo na yan agad.
I'll do so immediately.	Gagwin ko agad.
I'll leave immediately.	Aalis na ako agad.
Tom nodded immediately.	Tumango agad si Tom.
I need help immediately.	Kailangan ko ng agarang tulong.
I'll return immediately.	Babalik ako agad.
Tom reacted immediately.	Mabilis nakapag-react si Tom.
Tom stopped immediately.	Agad na tumigil si Tom.
We'll begin immediately.	Magsisimula na tayo agad.
Please begin immediately.	Mangyaring magsimula agad.
Tom answered immediately.	Sumagod agad si Tom.
Tom returned immediately.	Bumalik agad si Tom.
I spotted Tom immediately.	Nakita ko agad si Tom.
I'll call her immediately.	Tatawagan ko siya agad.
Tom responded immediately.	Nagresponde agad si Tom.
We must leave immediately.	Kailangan nating umalis agad.
I'll see to it immediately.	Titignan ko iyon agad.
Tom understood immediately.	Naintindihan agad ni Tom.
Tom was immediately worried.	Agad-agad nag-alala si Tom.
We have to leave immediately.	Kailangan na nating umalis agad.
You should leave immediately.	Kailangan mo nang umalis afad.
I need to see Tom immediately.	Kailangan kong makita si Tom agad.
I need to see you immediately.	Kailangan kitang makita agad.
Tom immediately began talking.	Agad-agad nagsimulang magsalita si Tom.
Tom was immediately concerned.	Agada-agad nag-alala si Tom.
We immediately became friends.	Agad-agad kaming naging magkaibigan.
I suggest we leave immediately.	gkahi kong umalis na tayo agad.
She recognized him immediately.	Nakilala niya siya agad-agad.
I suggest you leave immediately.	Iminumungkahi kong umalis ka agad.
I'd like to see Tom immediately.	Gusto kong makita si Tom agad.
Tom recognized Mary immediately.	Nakilala ni Tom agad si Mary.
I'll take care of it immediately.	Aasikasuhin ko agad ito.
Tom wants to see you immediately.	Gusto kang makita ni Tom agad.
I need to talk to you immediately.	Kailangan kong makipag-usap sa iyo kaagad.
I'd like you to leave immediately.	Nais kong umalis ka na dito kaagad.
I have to speak to Tom immediately.	Kailangan kong makausap si Tom kaagad.
I need to see a doctor immediately.	Kailangan kong makakita ng doktor agad.
I need to speak to Tom immediately.	Kailangan kong kausapin si Tom kaagad.
Tom told Mary to do it immediately.	Sinabihan ni Tom si Mary na gawin iyon agad.
I want you to stop this immediately.	Gusto kong itigil mo na ito agad.
I'll bring you the bill immediately.	Dadalhin ko sayo agad ang bayarin.
Tom tackled the problem immediately.	Agad-agad sinolusyonan ni Tom ang problema.
I need to speak with Tom immediately.	Kailangan kong makipag-usap kay Tom kaagad.
I want you to go upstairs immediately.	Gusto kong umakyat ka sa hagdan kaagad.
I was there recently.	Nandun ako kamakailan lang.
I went there recently.	Pumunta ako doon kamakailan lang.
I recently had surgery.	Kamakailan lang ay inoperahan ako.
Tom passed away recently.	Pumanaw si Tom kamakailan lang.
She met him only recently.	Nakilala niya siya kamakailan lang.
Tom got promoted recently.	Na-promote si Tom kamakailan lang.
He got a nice job recently.	Nagkaroon siya ng magandang trabaho kamakailan lang.
Tom got remarried recently.	Nagpakasal ulit si Tom kamakailan lang.
I haven't seen Tom recently.	Hindi ko nakita si Tom kamakailan.
I know you recently retired.	Alam kong nagretiro ka kamakailan lang.
I've put on weight recently.	Tumaas ang aking timbang kamakailan lang.
Something happened recently.	May nangyari kamakailan lang.
I recently met an old friend.	Kamakailan lang ay nagkita kami ng isa kong kaibigan dati.
Someone's been here recently.	May taong nandito kamakailan lang.
Someone's been drinking here recently.	May taong uminom dito kamakailan lang.
Tom has lost weight recently.	Bumaba ang timbang ni Tom kamakailan lang.
Tom hasn't been busy recently.	Hindi abala si Tom kamakailan.
Tom hasn't been well recently.	Hindi mabuti ang pakiramdam ni Tom kamakailan.
She has put on weight recently.	Tumaas ang kanyang timbang kamakailan lang.
Tom hasn't been happy recently.	Hindi masaya si Tom kamakailan.
I haven't met with Tom recently.	Hindi pa kami nagkikita ni Tom kamakailan.
What've you been doing recently?	Ano ang ginagawa mo kamakailan?
Have you heard from him recently?	May balita ka ba sa kanya kamakailan?
I haven't been swimming recently.	Hindi ako nakakalangoy kamakailan.
I haven't seen Tom limp recently.	Hindi ko nakitang malata si Tom kamakailan.
Tom has been sick a lot recently.	Madalas nagkakasakit si Tom kamakailan.
I know you recently got a new job.	Alam kong nagkaroon ka ng bagong trabaho kamakailan lang.
We don't meet very often recently.	Hindi tayo nagkikita nang madalas kamakailan.
I have not heard from her recently.	Wala akong balita tungkol sa kanya kamakailan.
I've been walking to work recently.	Naglalakad ako papunta sa opisina kamakailan.
Tom hasn't been very well recently.	Hindi maganda ang pakiramdam ni Tom kamakailan.
I haven't seen much of him recently.	Hindi ko siya nakita kamakailan.
I've been feeling depressed recently.	Nalulungkot ako kamakailan.
Recently, I don't have much appetite.	Kamakilan ay wala akong ganang kumain.
Have you been back to Boston recently?	Bumalik ka ba sa Boston kamakailan?
Recently, he's been drinking too much.	Kamakailan ay masyado siyang maraming iniinom.
Tom has lost a lot of weight recently.	Lubos na nabawasan ng timbang si Tom kamakailan.
Tom hasn't seen much of Mary recently.	Hindi nakita ni Tom si Mary kamakailan.
Have you checked our supplies recently?	Sinuri mo ba ang ating mga supply kamakailan?
Have you made any new friends recently?	May mga bago ka bang naging kaibigan kamakailan?
Have you checked the oil level recently?	Sinuri mo ba ang level ng langis kamakailan?
Tom has been putting on weight recently.	Nagpapataas ng timbang si Tom kamakailan.
Tom has gained a lot of weight recently.	Tumaas ang timbang ni Tom kamakailan.
Tom was told he had cancer just recently.	Sinabihan si Tom na may kanser siya kamakailan.
Things have gotten a little busy recently.	Ang mga bagay ay naging mas abala kamakailan.
That chicken hasn't laid any eggs recently.	Hindi nagitlog ang manok na iyan kamakailan.
Tom and Mary have recently moved to Boston.	Kamakalan lamang ay lumipat si Tom at Mary sa Boston.
Tom has changed his email address recently.	Pinalitan ni Tom ang kanyang email address kamakailan lang.
Tom recently bought a nice house in Boston.	Kamakailan lang ay bumili ng magandang bahay si Tom sa Boston.
We've recently put a new roof on our house.	Kamakailan lang ay naglagay kami ng bagong bubong sa bahay namin.
Tom just walked past me yesterday.	Dinaanan lang ako ni Tom kahapon.
We're past that.	Tapos na tayo doon.
A car drove past me so quickly I thought I was gonna die.	May kotseng dumaan nang napakabilis akala ko ay mammatay na ako.
He is past forty.	Lagpas kwarenta na siya.
It's past midnight.	Lagpas hating-gabi na.
Tom is past thirty.	Lagpas trenta na si Tom.
Tom rushed past me earlier that morning.	Dali-dali akong dinaanan ni Tom kaninang umaga.
Tom walked past Mary that evening.	Noong gabing iyon ay nilagpasan lang ni Tom si Mary.
Tom is past his prime.	Si Tom ay lagpas na sa kanyang kalakasan.
That's all in the past.	Lahat iyon ay sa nakaraan na.
They won't get past me.	Hindi sila makakalusot sa akin.
It's a quarter past nine.	Alas-nuebe kinse na.
It's a quarter past five.	Alas-singko kinse na.
It's a quarter past eleven.	Alas-onse kinse na.
It's a quarter past one.	Ala-una kinse na.
It's a quarter past four.	Alas-kwatro kinse na.
We can't change the past.	Hindi natin mababago ang nakaraan.
You can't erase the past.	Hindi natin mabubura ang nakaraan.
Don't worry about the past.	Whuwag mong alalahanin ang nakaraan.
I wouldn't put it past Tom.	Hindi ako magugulat kung si Tom nga iyon.
We can't ignore Tom's past.	Hindi natin pwedeng wag pansinin ang nakaraan ni Tom.
It's probably past midnight.	Siguro ay lagpas hating-gabi na.
I don't care about your past.	Wala akong pakialam sa nakaraan mo.
It's almost half past eleven.	Mag-aalas-onse y media na.
It's exactly half-past eight.	Saktong Alas-otso y media na.
It's well past Tom's bedtime.	Sobrang lagpas na sa oras ng pagtulog ni Tom.
Tom can't let go of the past.	Hindi mapakawalan ni Tom ang nakaraan.
I'll be back at half past six.	Babalik ako ng alas-sais y media.
It is twenty seven minutes past ten.	Dalawampu't pitong minuto ang nakalipas bago mag alas-dyis.
It is twelve minutes past one.	Labindalawang minuto ang nakalipas bago mag ala-una.
It is forty four minutes past three.	Apatnapu't-apat na minuto ang nakalipas bago mag alas-tres.
It is eight minutes past twelve.	Walong minuto ang nakalipas bago mag alas-dose.
It is thirty two minutes past six.	Tatlumput-tatlong minuto ang nakalipas bago mag alas-sais.
It is nineteen minutes past two.	Labing-siyam na minuto ang nakalipas bago mag alas-dos.
It is twenty minutes past ten.	Dalawampung minuto ang nakalipas bago mag alas-dyis.
Tom couldn't get past security so he was not able to make it yesterday.	Hindi makalagpas si Tom sa security kaya hindi siya nakarating kahapon.
How did Tom get past the guards?	Paano nalampasan ni Tom ang mga guwardiya?
Tom couldn't get past the guard a while ago.	Hindi malampasan ni Tom ang mga guwardiya kanina.
He ran the entire race without thinking of her.	Tinakbo niya ang karera nang hindi siya iniisip.
Don't dwell on your past mistakes!	Huwag kang manirahan sa iyong nakaraan!
It's time to reflect on your past.	Oras na para magnilay-nilay tungkol sa iyong nakaraan.
I don't often think about the past.	Hindi ko masyadong iniisip ang nakaraan.
I'd like to put the past behind us.	Gusto kong iwan natin ang nakaraan.
I don't know anything about his past.	Wala akong alam sa kanyang nakaraan.
I don't know anything about Tom's past.	Wala akong alam sa nakaraan ni Tom.
Tom doesn't like to talk about his past.	Ayaw ni Tom na pag-usapan ang kanyang nakaraan.
Tom has been busy for the past few hours.	Naging abala si Tom sa mga nakaraang oras.
Tom wants to know more about Mary's past.	Gusto pang lubos na malaman ni Tom ang nakaraan ni Mary.
I haven't been busy for these past two days.	Hindi ako abala sa mga nakaraang dalawang araw.
Tom doesn't know anything about Mary's past.	Walang alam si Tom sa nakaraan ni Mary.
Tom has called me many times this past week.	Maraming beses akong tinawagan ni Tom nitong nakaraang linggo.
She walked past him without even noticing him even for a second.	Dinaanan niya siya kahit nang hindi siya pinapansin kahit isang segundo.
I've learned a lot from you over the past year.	Marami akong natutunan sayo noong nakaraang taon.
Tom hasn't eaten anything in the past 36 hours.	Wala pang kinakaing kahit ano si Tom sa nakaraang 36 oras.
Tom shouldn't tell Mary anything about his past.	Hindi dapat magsabi ng kahit ano si Tom kay Mary tungkol sa kanyang nakaraan.
I've been here every day for the past three weeks.	Nandito ako araw-araw mula noong nakaraang tatlong linggo.
For the past 10 years, I've fed my dog dry dog food.	Sa nakaraang 10 taon ay pinapakain ko ang aso ko ng dog food.
Our policy is to build for the future, not the past.	Ang polisiya natin ay gumawa para sa hinaharap, hindi para sa nakaraan.
I've kept it for the past three years.	Itinago ko iyon sa nakaraang tatlong taon.
Tom was getting sleepy since it was past his bedtime.	Inaantok na si Tom dahil lagpas na ang oras sa oras ng pagtulog niya.
Tom took notes during class.	Nag-notes si Tom habang klase.
He kept silent during the meal.	Nanahimik siya habang kumakain.
He was asleep during the lesson.	Natulog siya habang nagkaklase.
Tom dozed off during the meeting.	Natulog si Tom habang nagmi-meeting.
Tom passed away during the night.	Namatay si Tom sa gabi.
Behave yourself during my absence.	Magpakabait ka habang wala ako.
I had a good time during the trip.	Nag-enjoy ako habang byahe.
I went to sleep during the lesson.	Natulog ako habang nagkaklase.
Tom took notes during the meeting.	Nag-notes si Tom habang nagmi-meeting.
I think I fell asleep during class.	Sa tingin ko ay nakatulog ako habang nagkaklase.
Tom died during his stay in Boston.	Namatay si Tom habng nakatira siya sa Boston.
I heard Tom snoring during the class.	Narinig ko si Tom na humihilik sa klase.
Tom couldn't stay awake during class.	Hindi kaya ni Tom na manatiling gising habang klase.
During the exam, Tom cheated off Mary.	Dinaya ni Tom si Mary habang exam.
Tom cried during his son's graduation.	Umiyak si Tom noong pagtatapos ng anak niya.
Tom changes channels during commercials.	Pinapalitan ni Tom ang channel tuwing commercial.
I sleep during the day and work at night.	Natutulog ako sa araw at nagtatrabaho sa gabi.
We live in the province during the summer.	Naninirahan kami sa probinsiya tuwing tag-init.
Tom lost his job during the last recession.	Nawalan ng trabaho si Tom nung huling recession.
He sleeps during the day and works at night.	Natutulog siya sa araw at nagtatrabaho sa gabi.
Tom worked as a lifeguard during the summer.	Nagtrabaho si Tom bilang lifeguard noong tag-araw.
He played golf every day during his vacation.	Naglaro siya ng gold araw-araw noong bakasyon niya.
I must call him sometimes during the morning.	Kailangan ko siyang tawagan minsan sa umaga.
I'm going to work during the spring.	Magtatrabaho ako sa tag-sibol.
Tom blew his nose loudly during the oboe solo.	Suminga si Tom ng malakas kasabay ng oboe solo.
Tom broke his left ankle during a rugby match.	Napilay ang kaliwang bukong-bukong ni Tome sa rugby match.
Did you go anywhere during the summer vacation?	Pumunta ka ba sa kahit saan noong bakasyon noong tag-araw?
Tom asked Mary to be attentive during meetings.	Sinabihan ni Tom si Mary na makinig mabuti tuwing meeting.
All the passengers got seasick during the storm.	Lahat ng pasahero ay naging seasick noong bumagyo.
I got expelled from school during my senior year.	Na-expel ako sa paaralan noong senior year ko.
Tom was given detention for talking during class.	Na-detention si Tom dahil sa pagsasalita habang klase.
I'd like you to look after my dog during my absence.	Nais ko sanang bantayan mo ang aking aso habang wala ako.
Tom was very tired and fell asleep during the meeting.	Sobrang pagod ni Tom at nakatulog siya sa meeting.
He has the habit of reading the newspaper during meals.	Nakasanayan niyang magbasa ng pahayagan habang oras ng pagkain.
I can finally tell you about what I did during the war.	Masasabi ko na sa wakas ang ginawa ko noong giyera.
Tom brought up an interesting point during the meeting.	May sinabi si Tom na interesanteng punto noong meeting.
Please fasten your seat belt during takeoff and landing.	Pakisuot ang seatbelt habang takeoff at landing.
Tom always feels depressed during the cold winter months.	Laging nalulungkot si Tom tuwing mga buwan ng tag-lamig.
I slept a little during lunch break because I was so tired.	Umidlip ako ng kaunti habang lunch break dahil sobrang pagod ako.
Tom wanted to know what Mary did during her summer vacation.	Gustong malaman ni Tom kung ano ang ginawa ni Mary sa bakasyon niya noong tag-init.
Tom isn't doing much business during these bad economic times.	Wala masyadong nesgosyo si Tom ngayon dahil sa pangit na ekonomiya.
The roads were very muddy since it had rained during the night.	Ang mga daan ay sobrang maputik dahil umulan noong gabi.
A few trees fell down in our neighborhood during the storm last week.	Ilang puno ang natumba sa aming lugar noong bumagyo noong isang linggo.
It was during the rainy season three years ago that Tom first met Mary.	Tag-ulan tatlong taon ang nakalipas noong nakilala ni Tom si Mary.
If you leave your textbooks at school during the break, they'll get confiscated.	Kung iniwan mo ang iyong mga libro sa eskwelahan habang bakasyon, kukumpiskahin ang mga ito.
Tom works as a bank clerk during the weekdays.	Nagtatrabaho si Tom bilang clerk sa banko tuwing Lunes hanggang Biyernes.
And as a part-time lifeguard on weekends.	At bilang part-time lifeguard tuwing Sabado at Linggo.
I work during the night.	Nagtatrabaho ako tuwing gabi.
Be quiet during the lesson.	Tumahimik ka habang naglelesson.
It rained during the night.	Umulan noong gabi.
He fell asleep during class.	Nakatulog siya habang klase.
Come quickly!	Pumunta ka nang mabilis!
Come here quickly.	Bilisan mo ang pagpunta dito.
Do it quickly.	Gawin mo iyon agad.
Go home quickly.	Umuwi ka agad.
He acts quickly.	Mabilis siyang kumilos.
Tom ate quickly.	Mabilis na kumain si Tom.
He moves quickly.	Mabilis siyang gumalaw.
I did it quickly.	Mabilis ko iyong ginawa.
Tom left quickly.	Mabilis na umalis si Tom.
Come here quickly.	Pumunta ka dito nang mabilis.
Tom moved quickly.	Mabilis na kumilos si Tom.
Tom spoke quickly.	Mabilis na nagsalita si Tom.
Tom spoke as quickly as Jane.	Nagsalita si Tom na simbilis ni Jane.
Tom stood quickly.	Mabilisang tumayo si Tom.
Tom talks quickly.	Mabilis magsalita si Tom.
You learn quickly.	Mabilis ka matuto.
Tom nodded quickly.	Mabilis na tumungo si Tom.
Tom speaks quickly.	Mabilis magsalita si Tom.
