I loved him.	Minahal ko siya.
A stranger asked me the way to the school.	May mamang nagtanong sa akin ang papunta sa paaralan.
Water, taken in moderation, cannot hurt anybody.	Hindi makkasama ang pag-inom ng tubig, basta huwag sobra.
She is singing the national anthem of the Philippines.	Kinakanta niya ang pambansang awit ng Pilipinas.
The English couple, Chris and Precious, were from Manchester and had the typical twang to their words.	Ang mag-asawang Ingles, si Chris at Precious, ay nagmula sa Manchester at nagkaroon ng tipikal na salita sa kanilang mga salita.
I walked to the church.	Naglakad ako papunta sa simbahan.
He already looks a bit ghoulish.	Siya ay mukhang medyo masamang espiritu.
Do you want to drink some tea?	Gusto mo bang uminom ng tsaa?
I love you, Tom.	Mahal kita, Tomas.
A drunken man is trying to make his way back home.	Isang lasing na lalaki ay nagsisikap na bumalik sa kaniyang bahay.
Is it true that my sibling can drive?	Totoo ba na marunong magmaneho kapatid ko?
October twenty-nine is the date today.	Ikadalawampu't-siyam ng Oktubre ang petsa ngayon.
Berlin is now your home?	Ang Berlin ay ang tahanan mo ngayon?
It's not what you say, but how you say it.	Di sa kung anong sinasabi, kundi kung paano.
July five is the date today.	Ikalima ng Hulyo ang petsa ngayon.
There will be certain situations which can push you to the limit.	Magkakaroon ng ilang mga sitwasyon na maaaring itulak ka sa limitasyon.
I wish to pet wild animals such as lions and tigers.	Nais kong makahaplos ng mga mabangis na hayop gaya ng ng mga leon at tigre.
This book is very thick.	Napakakapal ng librong ito.
If not, it would be easy to lose our jobs.	Kung hindi, madaling mawala ang ating trabaho.
My brother is big enough to travel alone.	Malaki na ang kapatid kong lalaki upang maglakbay siya ng mag-isa.
I love French movies.	Gustung-gusto ko ang mga pelikula ng French.
All those flowers look alike.	Magkamukha ang lahat niyong bulaklak.
The vast majority of children love ice cream.	Talagang ang karamihan ng bata'y gusto ang ayskrim.
I hope this will not inconvenience you too much.	Sana hindi ka masyadong maabala.
two backpackers from Lithuania (one was a sky diving instructor, the other an advocate for acid).	dalawang backpacker mula sa Lithuania (ang isa ay tagapagturo ng himpapawid ng kalangitan, ang isa pa ay tagapagtaguyod ng acid).
How many languages do you speak?	Ilang wika ang marunong ka?
I never travel alone.	Hindi ako naglalakbay ng nag-iisa.
They are Americans.	Sila ay mga Amerikano.
I want guava in my food.	Gusto ko ng bayabas sa aking pagkain.
Don't drive so fast.	Huwag ka magmaneho ng mabilis.
Flowers bloom.	Sumisibol ang mga bulaklak.
I want watermelon in my food.	Gusto ko ng pakwan sa aking pagkain.
I really think my sibling should drive.	Sa tingin ko, dapat ako ang kapatid ko ang magmamaneho.
Your flight leaves at 1:34.	Ang eroplano na sasakyan mo ay aalis ng 1:34.
How much are your headphones?	Magkano ang iyong headphones?
She traveled by bus.	Siya ay naglakbay gamit ng bus.
Please consider us in the future for all your travel needs.	Sana payagan niyo kami sa hinaharap para sa inyong mga pangangailangan sa paglalakbay.
Can I have a glass of water please?	Maaari ba akong makahingi ng isang basong tubig?
Where can I buy food?	Saan ako puwede bumili ng pagkain?
He's driving.	Siya'y nagmamaneho.
After an hour, we ascended to a nearby village and drank cola from a vendor.	Pagkatapos ng isang oras, umakyat kami sa isang kalapit na nayon at uminom ng kola mula sa isang tindero.
Last wednesday, i bought pineapple from the store.	Noong miyerkules, bumili ako ng pinya sa tindahan.
It's more fun in Spain.	Mas masaya sa Espanya.
My firend can't let the girl out of his sight.	Hindi maalis sa tingin ng kaibigan ko yung babae.
Japanese forces marched into Burma.	Nag-martsa ang mga puwersang Hapones patungo sa Burma.
What's up?	Anong mayroon?
Negative, selfish and untrustworthy people do their friends more harm than good just by being around them.	Ang mga negatibo, makasarili at di-masisiyahang mga tao ay higit na masama sa kanilang mga kaibigan kaysa sa mabubuting bagay sa pamamagitan lamang ng pagiging nasa paligid nila.
The pot is open, lingering around parks and sidewalks, not just your brothers basement room.	Ang palayok ay bukas, lumiligid sa mga parke at mga bangketa, hindi lamang ang basement room ng iyong kapatid.
I'm sorry, but I don't understand English well.	Sori po, pero hindi ko masyadong maintindihan ang Ingles.
Last wednesday, he bought mango from the store.	Noong miyerkules, bumili sya ng mangga sa tindahan.
One of our companions celebrated her birthday in Penang.	Sa Penang nagdiwang ng kaarawan ang isa sa aming mga kasama.
I will fetch you.	Susunduin kita.
She came alone.	Dumating siyang mag-isa.
Would you like a starter?	Ano gusto mo sa panimulang pagkain?
November thirty is the date today.	Ikatatlompu't ng Nobyembre ang petsa ngayon.
I walked to the classroom.	Naglakad ako papunta sa silid-aralan.
Does someone here speak Japanese?	Meron ba ditong marunong ng Hapon?
I went to my classmate's house yesterday.	Pumunta ako sa bahay ng aking kaklase kahapon.
I am not coming by the way,.	Hindi pala ako sasama.
If you want me to help Tom, I'll help him.	Kung gusto mong tulungan ko si Tom, tutulungan ko siya.
How much is the bitter gourd?	Magkano ang ampalaya?
I do not like eating meat.	Hindi ko gusto kumain ng karne.
The baby cried loudly.	Umiyak ng malakas ang sanggol.
May eight is the date today.	Ikawalo ng Mayo ang petsa ngayon.
In some cases, theres irrefutable evidence that a crime was committed.	Sa ilang mga kaso, may hindi masasagot na katibayan na ang isang krimen ay ginawa.
I know where he comes from.	Alam ko kung saan siya nanggaling.
Life's not fair.	Hindi patas ang buhay.
Bananas are yellow.	Dilaw ang saging.
Tom listened to me carefully.	Nakinig ng mabuti sa akin si Tomas.
I have to go to the toilet.	Kailangan kong gumamit ng palikuran.
December seven is the date today.	Ikapito ng Disyembre ang petsa ngayon.
We'll have two glasses of water please.	Maari bang magkaron kami ng dalawang basong tubig.
I live in Armenia.	Nakatira ako sa Armenya.
Can we drive you home?	Pwede ba sa iyo na kami ang magmamaneho sa iyo pauwi sa bahay mo?
Can I drive?	Pwede ba ako ang magmaneho?
Going to the airport, I was alone.	Papunta sa paliparan, nag-iisa ako.
It was fun, beautiful sights and memories we brought home.	Ang saya, magagandang tanawin at alaala ang baon namin sa pag-uwi.
In Paris, the facility served wine and beer.	Sa Paris, ang pasilidad ay nagsilbi ng alak at serbesa.
He respects his father.	Iginagalang niya ang kanyang tatay.
What do I need to do to make you say yes?	Ano ang kailangan ko gawin para mapa-oo ka?
Are we going straight?	Dederetso ba tayo?
I want to go on a vacation next year in Portugal.	Gusto ko magbakasyon sa susunod na taon sa Portugal.
Today is my cousin's birthday.	Ngayong araw ang kaarawan ng pinsan ko.
I thought the clothes were cheaper.	Akala ko ang mga damit ay mas mura.
This is the Southeast Asia backpacker uniform.	Ito ang uniporme ng backpacker ng Timog Silangang Asya.
We hurried into his car, which he'd been keeping warm for us, and then we took off, at last, to our house.	Nagmadali kami sa kanyang kotse, na kung saan siya ay nag-iingat para sa amin, at pagkatapos ay umalis na kami papunta, sa wakas, sa aming bahay.
I was happy that day because of the beautiful scenery I saw, my family as well.	Ang saya ko ng araw na iyon dahil sa magagandang tanawin na aking nakita gayundin ang pamilya ko.
I want you to think about your readers.	Gusto kong isipin mo ang iyong mga tagabasa.
The sky is clear.	Ang kalangitan ay maaliwalas.
And we can act accordingly.	At maaari kaming kumilos nang naaayon.
August twenty-six is the date today.	Ikadalawampu't-anim ng Agosto ang petsa ngayon.
One day I woke up and thought, why not just do it"?	Isang araw nagising ako at naisip, 'bakit hindi ko nalang gawin ito"?
Muffled sounds reverberated through the hallway.	Ang mga tunog tumalbog-talbog sa pamamagitan ng pasilyo.
I arrived in the airport early.	Dumating ako sa paliparan ng maaga.
Tomorrow is my grandfather's birthday.	Bukas ang kaarawan ng lolo ko.
I live in Rwanda.	Nakatira ako sa Ruwanda.
Now, for you young guys.	Ngayon, para sa iyo mga kabataang lalaki.
My car isn't working.	Hindi gumagana ang aking kotse.
January six is the date today.	Ikaanim ng Enero ang petsa ngayon.
I'm not finished until now.	Hindi pa rin ako tapos hanggang ngayon.
I don't know how much those two bikes cost.	Hindi ko alam kung magkano yang dalawan bike na yan.
We are traveling to France by air.	Kami ay naglakbay papuntang France gamit ng mga sasakyan na lumilipad.
They advertised a new product on TV.	Nagpakita sila ng bagong produkto sa telebisyon.
There are people who talk just because they have a mouth.	May taong dumadaldal dahil lamang may bunganga sila.
July one is the date of our vacation to Camarines Sur.	Ikauna ng Hulyo ang petsa ng bakasyon natin sa Camarines Sur.
Do you want to say something?	May gusto ka bang sabihin?
We love picnics.	Gusto namin ang mga piknik.
Especially the places that tourists really enjoy.	Lalong lalo na ang mga lugar na talaga namang tinatangkilik ng mga turista.
The living whose fur-trimmed hoods and fleece caps guarantee a flat-on-one-side helmeted look once the hoods come down later in a cafe.	Ang buhay na kung saan ang fur-trim hoods at balahibo ng tupa na sombrero magarantiya ang isang patag-sa-isang-banda helmeted hitsura nang isang beses ang mga turbante bumaba sa ibang pagkakataon sa isang cafe.
She is ugly.	Ang pangit niya.
It sits on top of the Spanish running down Mission.	Ito ay nasa tuktok ng Espanyol na tumatakbo pababa sa Mission.
They got lost.	Nawala na sila.
I decided that if this bus were to crash Id be ready, agile and with nobody to worry about Id crawl free from the wreckage.	Nagpasya ako na kung ang bus na ito ay bumagsak Gusto ko maging handa, mabilis at may walang aalalahanin Gusto ko gumapang para makawala mula sa sira.
English gets you everywhere but isnt always home.	Ang Ingles ay nakakakuha sa iyo kahit saan ngunit hindi palaging bahay.
June ten is the date of our vacation to Camarines Sur.	Ikasampu ng Hunyo ang petsa ng bakasyon natin sa Camarines Sur.
Tom doesn't know the difference between astronomy and astrology.	Di alam ni Tomas ang kaibahan ng astronomiya at astrolohiya.
I like the food.	Gusto ko ang pagkain.
December ten is the date today.	Ikasampu ng Disyembre ang petsa ngayon.
I live in Uruguay.	Nakatira ako sa Uruguay.
Mary showed the letter to me.	Pinatingin ni Maria sa akin ang sulat.
Meeting my future wife revolutionized my Spanish.	Sa pagkilala ko sa aking asawa sa hinaharap ang nagbasag ng aking Espanyol.
Where is the car keys?	Saan ang susi sa kotse?
It's more fun in United Kingdom.	Mas masaya sa Nagkakaisang Kaharian.
I must offer you an apology for coming late.	Pasensiya na at nahulI ako.
Do you know who he is?	Kilala mo sya?
You'll never be alone.	Hindi ka nag-iisa.
Enjoy your stay with us.	Masiyahan ka nawa sa iyong pananatili sa amin.
Even the grave of a mathematician from the nineteenth century is graced with a spray of scarlet gladioli, proof of memorys persistence.	Kahit na ang libingan ng isang dalub-agbilang mula sa ikalabing siyam na siglo ay pinahiran ng isang wisikan ng iskarlata gladioli, patunay ng pagtitiyaga ng memorya.
Its my pleasure to meet you.	Ikinagagalak kong makilala kita.
That is a perfect example.	Iyon ay perpektong halimbawa.
Hindi pa magaling ang sugat.	There are five pencils here.
It seemed odd that this sunny patch of grass is tucked away in the aspens.	Tila kakaiba na ang maaraw na lugar ng damo ay nakatago sa mga aspens.
Send me a postcard.	Padalhan mo ako ng postcard.
September eighteen is the date of our vacation to Camarines Sur.	Ikabing-walo ng Septiyembre ang petsa ng bakasyon natin sa Camarines Sur.
Do you know what time is our boarding time?	Alam mo ba kung anong oras ang pagsakay?
Maybe it is correct.	Tama naman siguro.
How much is the bell pepper?	Magkano ang siling pari?
You act like a crazy person.	Para kang baliw.
Due to its unique beauty, this is the Bilar Man-Made Forest (Bohol Man-Made Forest).	Sa kakaibang ganda nito, ito ay ang Bilar Man-Made Forest (Bohol Man-Made Forest).
How can I learn to understand Japanese?	Paano ba ako matututo makaintindi ng Hapon?
Actually it wasnt a church.	Tunay na hindi ito isang simbahan.
There is an ice cream shop at Sagada.	May isang tindahan sa Sagada na nagtitinda ng sorbetes.
I convinced myself of it.	Kumbinsido ko ang aking sarili nito.
My big brother told me to drive to Boston.	Sinabihan ako ng kuya ko na magmaneho papuntang Boston.
I have enjoyed my stay here, thank you.	Nasiyahan ako sa pananatali ko dito, salamat.
The baby isn't crying anymore.	Di na umiiyak ang beybi.
It's more fun in Republic of the Congo.	Mas masaya sa Republika ng Konggo.
We got a pet.	Nagkatuta na kami.
Watermelons are cheap in the market.	Mura sa palengke ang mga pakwan.
He ran from the canteen.	Tumakbo siya galing sa kantina.
Estas esperando el bus a la frontera? I asked her, wondering if she too was waiting for the bus to the border.	Ang isang esperando sa bus ng la frontera? Tinanong ko siya, nagtataka kung naghihintay din siya sa bus sa bingit.
October seventeen is the date of our vacation to Camarines Sur.	Ikalabing-pito Oktubre ang petsa ng bakasyon natin sa Camarines Sur.
Can you get the radish?	Pwede mo ba kuhanin ang labanos?
We will drive Tom home.	Tayo na ang magmamaneho kay Tom pauwi.
Why don't you come with me?	Ba't di ka sumama sa akin?
Attack!	Sugod!
And why shouldnt it?	At bakit hindi ito dapat?
May two is the date today.	Ikalawa ng Mayo ang petsa ngayon.
Its true: where can the homeless go?	Totoo: kung saan maaaring pumunta ang mga walang bahay?
Do you have a sin?	May kasalanan ka ba?
Ignore him.	Huwag mo siyang pansinin.
My sister married a high school teacher last June.	Nagpakasal ang kapatid kong babae sa isang guro ng mataas na paaralan noong Hunyo.
March one is the date today.	Ikauna ng Marso ang petsa ngayon.
I'm sorry to have kept you waiting for such a long time.	Pasensiya na at pinaghintay kita nang matagal.
I go home early every day.	Maaga akong umuwi bawat araw.
I also found that the sheets of the bed are unclean.	Natagpuan ko rin na hindi malinis ang sapin sa kama.
What does she do?	Ano ang ginagawa niya?
My uncle is scared to swim.	Natatakot tito lumangoy sa dagat.
My armpits are dark.	Maitim ang aking kili-kili.
My classmates told me to drive to Boston.	Sinabihan ako ng mga kaklase ko na magmaneho papuntang Boston.
A strong wind blew all day long.	Malakas ang hangin buong araw.
It is hard to bring a dog and a cat in other countries.	Mahirap magdala ng aso at pusa sa ibang bansa.
They teach Chinese as a second national language in Singapore.	Itinuturo ang Chinese bilang ikalawang pambansang wika sa Singapore.
A light rain fell, more like a mist.	Ang isang magaan na ulan ay nahulog, mas katulad ng isang ulap.
I want to go on a vacation next year in Myanmar.	Gusto ko magbakasyon sa susunod na taon sa Myanmar.
We wear uniforms at our school.	Nagsusuot kami ng uniporme sa aming paaralan.
Id soon see the memorial with her, and hear the story of how she found her airplane part.	Sa lalong madaling panahon ay makikita ko ang pang-alaala sa kanya, at marinig ang kuwento kung paano niya nakita ang kanyang bahagi ng eroplano.
I am Korean.	Ako ay Koreano.
Tomorrow we will celebrate my teacher's birthday at the beach.	Magdidiwang kami bukas sa kaarawan ng guro ko sa tabing-dagat.
He ran from the dormitory.	Tumakbo siya galing sa dormitoryo.
I live in East Timor.	Nakatira ako sa Silangang Timor.
Will you be here this coming Friday?	Nandito ka ba sa darating na Biyernes?
How does this soup taste?	Paano ang lasa ng sopas?
I am thankful for the holidays.	Nagpapasalamat ako para sa bakasyon.
The images you make on your journey say something about yourself and the nature of your experience, so seek out the frames that will capture that essence and make them immortal.	Ang mga larawan na ginagawa mo sa iyong paglalakbay ay nagsasabi ng isang bagay tungkol sa iyong sarili at sa likas na katangian ng iyong karanasan, kaya hanapin ang mga kuwadro na makukuha ang kakanyahan na iyon at gawin itong walang kamatayan.
Give me a little.	Bigyan mo ako ng konti.
 Do I have to do it over again?	Dapat ko bang ulitin?
February eighteen is the date of our vacation to Camarines Sur.	Ikabing-walo ng Pebrero ang petsa ng bakasyon natin sa Camarines Sur.
Tomorrow we will celebrate my son's birthday at the beach.	Magdidiwang kami bukas sa kaarawan ng anak kong lalaki sa tabing-dagat.
I will buy a new bag.	Bibili ako ng bagong bag.
I think Tom looks a lot like John.	Sa tingin ko masyadong kamukha ni Tomas si John.
Can you accompany me to the shop?	Pwede mo ba ako samahan sa tindahan?
Where do I start?	Saan ako magsisimula?
Hes an audio expert.	Sya ay eksperto sa audio.
Time runs while I wait.	Tumatakbo ang oras habang ako ay naghihintay.
It's not my opinion, but just my translation.	Hindi ko opinyon, kundi translasyon ko lamang.
I don't want to read this book.	Di ko gustong basahin itong libro.
I said, trying to articulate to the best of my ability, which somehow always makes matters worse.	Sinabi ko, sinusubukang makapagsalita sa abot ng aking kakayahan, na sa paanuman palaging gumagawa ng mas masama.
A whole library is not big enough to hold the things we dont understand".	Ang isang buong aklatan ay hindi sapat upang hawakan ang mga bagay na hindi natin maintindihan.
He eventually got rich from working hard.	Sa sipag at tiyaga, siya ay tuluyang yumaman.
You will drive the car.	Ikaw na ang magmaneho ng kotse.
I like your way of smiling.	Gusto ko kung paano ka ngumingiti.
He is wearing sunglasses.	May suot siyang salamin.
Tom's mother died when he was young.	Namatay ang ina ni Tom noong bata pa siya.
All plants need water and light.	Lahat ng halaman ay kailangan ang tubig at ilaw.
I want peanut in my food.	Gusto ko ng mani sa aking pagkain.
That is why they ask for a large price from the audience.	Kaya pala malaki ang sinisingil nila sa mga nanunuod.
I don't care what he does.	Wala akong pakialam kung anong gawin niya.
Can we stop by the gas station?	Kaya ba natin huminto sa stasyon ng gas?
Last wednesday, he bought apple from the store.	Noong miyerkules, bumili sya ng mansanas sa tindahan.
Do you speak English?	Marunong ka bang mag-Ingles?
So yes, in some cases, certain languages get it more right than others.	Kaya oo, sa ilang mga kaso, ang ilang mga wika ay nakakuha ito ng mas tama kaysa sa iba.
The bookstore is open.	Bukas ang tindahan ng libro.
Let's go!	Tara!
Last tuesday, they bought apple from the store.	Noong martes, bumili sila ng mansanas sa tindahan.
My grandmother shouldn't have been driving.	Hindi dapat nagmamaneho ang lola ko.
It's more fun in Libya.	Mas masaya sa Liechtenstein.
I will start after he comes.	Magsisimula ako pagdating niya.
I was traveling with some friends.	Ako ay naglalakbay kasama ng aking mga kaibigan.
My mother bought chairs.	Bumili nanay ko ng mga upuan.
He loves science fiction.	Mahal niya ang siyensiyang piksiyon.
You may choose whichever you like.	Pumili kayo ng alinmang gusto ninyo.
A glass of wine revived the tired traveler.	Isang baso ng alak nagpabuhay sa pagod na manlalakbay.
You can never tell how long these meetings will last.	Sinubukan naming maunawaan ang mga letra sa dingding.
It was getting dark.	Kumulimlim na.
Tom likes swimming.	Gusto ni Tomas lumangoy.
My thighs are itching.	Nangangati ang ang hita.
The food in the plane was delicious and plenty.	Masarap at marami ang pagkain sa eroplano.
Let's have a picture taken.	Magpakuha tayo ng litrato.
Do you have any one day tours?	May mga paglilibot kayo na hanggang isang araw?
Two beautiful girls asked Rico to take their pictures.	May dalawang magandang babae and nagpakuha ng litrato kay Rico.
Are you traveling alone?	Mag-isa ka bang naglalakbay?
Jamaica cherries are cheap in the market.	Mura sa palengke ang mga aratiles.
their petals were made pale by the lacework of snow.	ang kanilang mga petalo ay naging maputla sa pamamagitan ng lacework ng niyebe.
I want to go on a vacation next year in Tuvalu.	Gusto ko magbakasyon sa susunod na taon sa Tuvalu.
Draw a circle.	Gumuhit ka ng isang bilog.
I spaced my hands eight inches apart to approximate their waistlines.	Inilaan ko ang aking mga kamay ng walong pulgada upang ihambing ang kanilang mga baywang.
Can we reschedule our meeting?	Maaari ba nating i-reschedule ang ating pagpupulong?
Yes, I replied, before turning to leave.	Oo, sumagot ako, bago lumisan.
November seven is the date today.	Ikapito ng Nobyembre ang petsa ngayon.
Hey! What are you doing in my room?	Hoy! Anong ginagawa mo sa kwarto ko?
He quickly read his responsibilities.	Mabilis naman niyang binasa ang kanyang alituntunin.
Tom has something to ask Mary.	May gustong itanong si Tomas kay Maria.
October twenty-seven is the date of our vacation to Camarines Sur.	Ikadalawampu't-pito ng Oktubre ang petsa ng bakasyon natin sa Camarines Sur.
February twenty-four is the date of our vacation to Camarines Sur.	Ikadalawampu't-apat ng Pebrero ang petsa ng bakasyon natin sa Camarines Sur.
What are you going to play?	Anong lalaruin mo?
He knows.	Alam niya.
Tom bought two copies of the book.	Bumili si Tomas ng dalawang kopya ng libro.
She writes to him every week.	Nagsusulat sya sa kanya linggo linggo.
We saw many monkeys in the forest.	Marami kaming nakitang unggoy sa gubat.
Did you see the towel in the bathroom?	Nakita mo ba ang twalya sa paliguan?
December eight is the date today.	Ikawalo ng Disyembre ang petsa ngayon.
March twenty-three is the date of our vacation to Camarines Sur.	Ikadalawampu't-tatlo ng Marso ang petsa ng bakasyon natin sa Camarines Sur.
The weather has been nice all week.	Maganda ang panahon nang buong linggo.
Do you know what is the juciest fruit?	Alam mo ba kung ano ang pinakamakatas na prutas?
Generally speaking, women live longer than men.	Karaniwang mas mahaba ang buhay ng mga babae kaysa sa mga lalaki.
Perhaps Tom can help you.	Baka matulungan ka ni Tomas.
It's more fun inGuinea-Bissau.	Mas masaya sa Ginea-Bissau.
June twelve is the date of our vacation to Camarines Sur.	Ikalabing-dalawa ng Hunyo ang petsa ng bakasyon natin sa Camarines Sur.
My neighbor told me to drive to Boston.	Sinabihan ako ng kapitbahay ko na magmaneho papuntang Boston.
My daughter is scared to swim in the sea.	Natatakot anak kong babae lumangoy sa dagat.
June seventeen is the date today.	Ikalabing-pito ng Hunyo ang petsa ngayon.
a cheery English couple, and a Danish guy traveling solo.	isang magaling na mag-asawang Ingles, at isang lalaking taga-Denmark na naglalakbay nang mag-isa.
December fifteen is the date today.	Ikalabing-lima ng Disyembre ang petsa ngayon.
October twenty-six is the date of our vacation to Camarines Sur.	Ikadalawampu't-anim ng Oktubre ang petsa ng bakasyon natin sa Camarines Sur.
In Japan, groups made up of the same gender are often the most engaging.	Sa bansang Hapon, ang mga grupo na binubuo ng magkakaparehong kasarian ay kadalasang pinaka-makatawag pansin.
I am American too, I said, laughing.	Ako ay Amerikano rin, sabi ko, tumatawa.
How much money do you want?	Magkano ang kailangan mo?
Tomorrow we will celebrate my neighbor's birthday.	Magdidiwang kami bukas sa kaarawan ng kapitbahay ko.
I don't need your money. What I need is your time.	Di ko kailangan ang pera mo. Kailangan ko ang oras mo.
How much is the tire?	Magkano ang gulong?
Litter around the area increased.	Dumami ang kalat sa lugar.
Are you free tomorrow?	Libre ka ba bukas?
When your mind is so eager to create something, and youre in an environment thats so strange and inspiring,.	Kapag ang iyong isip ay sabik na gumawa ng isang bagay, at nasa isang kapaligiran na kakaiba at nakasisigla.
Where is the bus station?	Nasaan ang istasyon nang bus?
She saw my mother driving an old car.	Nakita niya ang nanay ko nagmamaneho ng lumang kotse.
I gave my sister a dictionary.	Binigyan ko ang kapatid ko ng diksiyunaryo.
Which part of the tour are you doing?	Aling parte nang paglilibot ang iyong gagawin?
He ran from the market.	Tumakbo siya galing sa tindahan.
When do you open?	Kailan kayo nagbubukas?
You need to be apologetic.	Kailangan mong humingi ng paumanhin.
I am staying at my grandparents' house.	Ako ay titira sa bahay ng lolo at lola ko.
I met Mary Jo, a petite, tiny-waisted, purple-wearing woman who was going to nursing school at night and drove taxis during the day.	Nakilala ko si Mary Jo, isang maliit, mapayat, mahilig sumuot ng kulay-ube na babae na pumupunta sa nursing school sa gabi at magmaneho ng mga taksi sa araw.
You've given me too much change.	Sobra po ang sukli.
Drink your milk.	Inumin ang gatas mo.
All is wrong.	lahat ay mali.
Tom can't control his children.	Di makontrol ni Tomas ang mga anak niya.
We ate at burger king.	Kumain kami sa burger king.
We're almost there, I remember whispering to the kids.	Kami ay halos naroroon, natatandaan ko ang pagbulong sa mga bata.
You are beautiful.	Maganda ka.
Richard is frying an egg.	Nagpriprito ng itlog si Richard.
I need this.	Kailangan ko ito.
I think this is mine.	Sa tingin ko sa akin ito.
Are you free next Thursday?	Libre ka ba sa susunod na Huwebes?
What if there's no sun?	Paano kung walang araw?
A traveler is like a free spirit.	Ang manlalakbay ay parang isang malayang kaluluwa.
Its about the individual creating the image, and the voice that speaks from the work.	Ito ay tungkol sa indibidwal na lumilikha ng imahe, at ang tinig na nagsasalita mula sa trabaho.
One slowed beside me, the window rolled down.	Ang isa ay pinabagal sa tabi ko, ang bintana ay binuksan.
There are many Christians here.	Maraming mga Kristiyano dito.
You have very sexy legs.	Talagang seksi ang mga binti mo.
Will the airport open in May?	Magbubukas ba ang paliparan sa Mayo?
Why not tell us?	Bakit hindi mo sabihin sa amin?
So many of us outsiders seem to be on a search for the Africa we imagined.	Napakarami sa atin na mga tagalabas ay tila nasa isang paghahanap para sa Aprika na ating naisip.
I am scared to swim in the sea at night.	Natatakot akong lumangoy sa dagat kapag gabi.
I want to go there.	Gusto kong pumunta roon.
